# BUSCO version is: 5.8.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
119591at33208	Complete	JBWBEE010000662.1	74000	64286	-	1190.3	844	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Complete	JBWBEE010000047.1	228790	241835	+	435.5	550	https://v10-1.orthodb.org/?query=121127at33208	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
123923at33208	Complete	JBWBEE010001017.1	23849	45439	+	438.8	528	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	JBWBEE010000386.1	93556	78923	-	944.2	755	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Complete	JBWBEE010000053.1	51230	37230	-	841.1	592	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	JBWBEE010000718.1	64229	68701	+	847.9	549	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	JBWBEE010002107.1	11481	21935	+	589.5	410	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Complete	JBWBEE010000208.1	139545	119302	-	536.4	473	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Complete	JBWBEE010000101.1	106381	134050	+	1418.4	854	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Complete	JBWBEE010000202.1	129435	157051	+	711.4	532	https://v10-1.orthodb.org/?query=131848at33208	UPF0505 family
132087at33208	Complete	JBWBEE010000785.1	19905	8621	-	943.1	764	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	JBWBEE010000404.1	40799	28608	-	1238.1	868	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	JBWBEE010002714.1	11190	257	-	394.3	376	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Complete	JBWBEE010000436.1	34395	40115	+	854.9	606	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Complete	JBWBEE010000131.1	129945	139260	+	753.4	614	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	JBWBEE010002039.1	413	4328	+	391.7	324	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Complete	JBWBEE010000292.1	114225	103179	-	468.5	349	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
146671at33208	Complete	JBWBEE010000011.1	53989	63252	+	914.4	679	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
147873at33208	Complete	JBWBEE010001165.1	4213	9832	+	961.6	566	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
148067at33208	Complete	JBWBEE010000113.1	232669	225958	-	483.5	459	https://v10-1.orthodb.org/?query=148067at33208	Nrap protein, domain 3
148325at33208	Complete	JBWBEE010000068.1	239218	243762	+	377.8	293	https://v10-1.orthodb.org/?query=148325at33208	THO complex subunit 1
152327at33208	Complete	JBWBEE010000378.1	116895	91317	-	524.9	369	https://v10-1.orthodb.org/?query=152327at33208	FAD/NAD(P)-binding domain
152977at33208	Complete	JBWBEE010000467.1	19683	10408	-	550.9	497	https://v10-1.orthodb.org/?query=152977at33208	Dymeclin
153034at33208	Complete	JBWBEE010000277.1	123073	127890	+	788.3	503	https://v10-1.orthodb.org/?query=153034at33208	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
157109at33208	Complete	JBWBEE010000007.1	82567	84541	+	268.4	222	https://v10-1.orthodb.org/?query=157109at33208	Zinc finger C2H2-type
157138at33208	Duplicated	JBWBEE010000116.1	217264	214785	-	311.2	473	https://v10-1.orthodb.org/?query=157138at33208	Neurochondrin
157138at33208	Duplicated	JBWBEE010000311.1	7511	9996	+	314.1	472	https://v10-1.orthodb.org/?query=157138at33208	Neurochondrin
158845at33208	Complete	JBWBEE010000535.1	29878	15079	-	464.5	470	https://v10-1.orthodb.org/?query=158845at33208	exocyst complex component 8
158962at33208	Complete	JBWBEE010000267.1	132911	137273	+	831.2	550	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
162821at33208	Complete	JBWBEE010000369.1	54766	52918	-	647.2	418	https://v10-1.orthodb.org/?query=162821at33208	Glycosyl hydrolase family 63, C-terminal
164767at33208	Fragmented	JBWBEE010000372.1	7829	32511	+	389.5	305	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
166097at33208	Complete	JBWBEE010001479.1	20270	26082	+	813.8	492	https://v10-1.orthodb.org/?query=166097at33208	Methylglyoxal synthase-like domain
168850at33208	Complete	JBWBEE010000108.1	2724	10961	+	829.3	523	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168924at33208	Complete	JBWBEE010000014.1	273113	277480	+	626.4	582	https://v10-1.orthodb.org/?query=168924at33208	ER membrane protein complex subunit 1, C-terminal
169864at33208	Complete	JBWBEE010000008.1	461205	466633	+	561.0	582	https://v10-1.orthodb.org/?query=169864at33208	CCAAT-binding factor
172677at33208	Complete	JBWBEE010000084.1	57205	48572	-	197.1	224	https://v10-1.orthodb.org/?query=172677at33208	Sphingomyelin phosphodiesterase 4
176247at33208	Complete	JBWBEE010000570.1	37761	27997	-	377.8	324	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
177718at33208	Complete	JBWBEE010000381.1	84341	113678	+	565.3	394	https://v10-1.orthodb.org/?query=177718at33208	WD40 repeat
177858at33208	Complete	JBWBEE010000551.1	65642	77529	+	881.0	586	https://v10-1.orthodb.org/?query=177858at33208	Helicase, C-terminal
178537at33208	Complete	JBWBEE010000632.1	38047	24299	-	986.0	466	https://v10-1.orthodb.org/?query=178537at33208	Radical SAM
179485at33208	Complete	JBWBEE010000714.1	49580	45497	-	554.6	367	https://v10-1.orthodb.org/?query=179485at33208	WD40 repeat
180808at33208	Complete	JBWBEE010000115.1	99015	94610	-	817.0	470	https://v10-1.orthodb.org/?query=180808at33208	FAD/NAD(P)-binding domain
182834at33208	Complete	JBWBEE010000580.1	60912	65330	+	702.2	548	https://v10-1.orthodb.org/?query=182834at33208	anaphase-promoting complex subunit 2
184508at33208	Complete	JBWBEE010000405.1	108480	97851	-	626.9	497	https://v10-1.orthodb.org/?query=184508at33208	SERRATE/Ars2 , C-terminal
184717at33208	Complete	JBWBEE010000600.1	35853	30353	-	915.3	500	https://v10-1.orthodb.org/?query=184717at33208	ATP-binding cassette sub-family E member 1
186208at33208	Complete	JBWBEE010000474.1	25724	11577	-	1214.6	707	https://v10-1.orthodb.org/?query=186208at33208	RNA cytidine acetyltransferase
186707at33208	Complete	JBWBEE010000072.1	201171	231185	+	298.1	361	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
187280at33208	Complete	JBWBEE010000185.1	46882	42960	-	733.6	528	https://v10-1.orthodb.org/?query=187280at33208	SCP2 sterol-binding domain
189414at33208	Complete	JBWBEE010000265.1	51186	75769	+	600.3	530	https://v10-1.orthodb.org/?query=189414at33208	MIF4G-like domain superfamily
190726at33208	Complete	JBWBEE010000122.1	57431	63272	+	546.0	391	https://v10-1.orthodb.org/?query=190726at33208	Eukaryotic translation initiation factor 3 subunit D
191938at33208	Complete	JBWBEE010000067.1	162916	169967	+	458.7	444	https://v10-1.orthodb.org/?query=191938at33208	Regulator of MON1-CCZ1
192250at33208	Complete	JBWBEE010001208.1	13361	1117	-	436.5	297	https://v10-1.orthodb.org/?query=192250at33208	pre-mRNA-splicing factor SLU7
194754at33208	Complete	JBWBEE010000335.1	39664	70249	+	1013.3	774	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
195986at33208	Complete	JBWBEE010000624.1	16704	13404	-	630.1	388	https://v10-1.orthodb.org/?query=195986at33208	cell division cycle 5-like protein
196950at33208	Complete	JBWBEE010000998.1	42599	31293	-	792.6	623	https://v10-1.orthodb.org/?query=196950at33208	RNA recognition motif domain
197549at33208	Complete	JBWBEE010002351.1	22	13078	+	149.7	308	https://v10-1.orthodb.org/?query=197549at33208	Pentatricopeptide repeat
197652at33208	Complete	JBWBEE010000288.1	105357	110391	+	723.1	409	https://v10-1.orthodb.org/?query=197652at33208	WD40 repeat
200997at33208	Complete	JBWBEE010000012.1	236952	231721	-	680.1	501	https://v10-1.orthodb.org/?query=200997at33208	Signal recognition particle subunit SRP68
201397at33208	Complete	JBWBEE010000968.1	35285	43614	+	659.2	432	https://v10-1.orthodb.org/?query=201397at33208	WD40 repeat
202545at33208	Complete	JBWBEE010001055.1	40705	48581	+	466.2	375	https://v10-1.orthodb.org/?query=202545at33208	Wntless Wnt ligand secretion mediator
203128at33208	Complete	JBWBEE010000062.1	264137	268913	+	844.1	439	https://v10-1.orthodb.org/?query=203128at33208	tRNA-splicing ligase, RtcB
203698at33208	Complete	JBWBEE010000189.1	184523	174975	-	1113.8	781	https://v10-1.orthodb.org/?query=203698at33208	Helicase, C-terminal
205220at33208	Complete	JBWBEE010000041.1	9857	20793	+	945.3	644	https://v10-1.orthodb.org/?query=205220at33208	Kelch repeat type 1
206786at33208	Complete	JBWBEE010000387.1	119513	115839	-	529.7	383	https://v10-1.orthodb.org/?query=206786at33208	Nmd3, N-terminal
206858at33208	Complete	JBWBEE010000017.1	389553	382620	-	621.5	505	https://v10-1.orthodb.org/?query=206858at33208	Rhodanese-like domain
207599at33208	Complete	JBWBEE010000532.1	57384	52298	-	490.7	374	https://v10-1.orthodb.org/?query=207599at33208	Mre11, DNA-binding
208219at33208	Complete	JBWBEE010001844.1	10851	3502	-	511.9	450	https://v10-1.orthodb.org/?query=208219at33208	RNA polymerase I specific transcription initiation factor RRN3
210614at33208	Complete	JBWBEE010002576.1	6255	17678	+	706.9	665	https://v10-1.orthodb.org/?query=210614at33208	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
212972at33208	Complete	JBWBEE010002744.1	5	10777	+	691.7	450	https://v10-1.orthodb.org/?query=212972at33208	digestive organ expansion factor homolog
214788at33208	Complete	JBWBEE010000001.1	430991	436735	+	673.8	526	https://v10-1.orthodb.org/?query=214788at33208	Conserved oligomeric Golgi complex subunit 6
215654at33208	Complete	JBWBEE010000021.1	311590	324550	+	595.5	406	https://v10-1.orthodb.org/?query=215654at33208	splicing factor 3A subunit 3
216257at33208	Missing
216563at33208	Complete	JBWBEE010000119.1	104959	119424	+	278.1	293	https://v10-1.orthodb.org/?query=216563at33208	Cytochrome b5-like heme/steroid binding domain
218441at33208	Complete	JBWBEE010000360.1	89112	93409	+	251.4	249	https://v10-1.orthodb.org/?query=218441at33208	Protein kintoun
219795at33208	Complete	JBWBEE010000478.1	77665	87958	+	575.5	524	https://v10-1.orthodb.org/?query=219795at33208	CCR4-NOT transcription complex subunit 10
219856at33208	Complete	JBWBEE010001183.1	47943	38068	-	660.3	395	https://v10-1.orthodb.org/?query=219856at33208	Ubiquitin specific peptidase 39
222489at33208	Complete	JBWBEE010000525.1	35710	43080	+	647.5	340	https://v10-1.orthodb.org/?query=222489at33208	WD40 repeat
223234at33208	Complete	JBWBEE010000017.1	132068	134285	+	329.7	346	https://v10-1.orthodb.org/?query=223234at33208	Protoporphyrinogen oxidase
224280at33208	Complete	JBWBEE010000016.1	106040	100546	-	737.5	396	https://v10-1.orthodb.org/?query=224280at33208	Signal recognition particle, SRP54 subunit, GTPase domain
226335at33208	Complete	JBWBEE010000057.1	260131	253661	-	591.5	364	https://v10-1.orthodb.org/?query=226335at33208	Homogentisate 1,2-dioxygenase
226941at33208	Complete	JBWBEE010000236.1	138509	145488	+	586.7	396	https://v10-1.orthodb.org/?query=226941at33208	acetyl-coenzyme A transporter 1
227087at33208	Complete	JBWBEE010001524.1	29055	11308	-	938.3	747	https://v10-1.orthodb.org/?query=227087at33208	Clathrin, heavy chain/VPS, 7-fold repeat
227453at33208	Complete	JBWBEE010001470.1	217	27583	+	544.7	429	https://v10-1.orthodb.org/?query=227453at33208	negative elongation factor B
227979at33208	Complete	JBWBEE010000620.1	71952	64351	-	920.8	595	https://v10-1.orthodb.org/?query=227979at33208	protein VAC14 homolog
231157at33208	Complete	JBWBEE010001293.1	17519	19683	+	556.8	431	https://v10-1.orthodb.org/?query=231157at33208	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
231700at33208	Complete	JBWBEE010000059.1	16587	22800	+	483.2	730	https://v10-1.orthodb.org/?query=231700at33208	siRNA-mediated silencing protein NRDE-2
234290at33208	Complete	JBWBEE010001865.1	28241	15218	-	697.4	461	https://v10-1.orthodb.org/?query=234290at33208	Leucine-rich repeat
235149at33208	Complete	JBWBEE010000074.1	241399	205279	-	450.7	462	https://v10-1.orthodb.org/?query=235149at33208	Signal recognition particle subunit SRP72
235430at33208	Complete	JBWBEE010001854.1	15987	23888	+	431.7	305	https://v10-1.orthodb.org/?query=235430at33208	U3 small nucleolar RNA-associated protein 15, C-terminal
235458at33208	Complete	JBWBEE010000450.1	77196	88022	+	427.9	358	https://v10-1.orthodb.org/?query=235458at33208	tRNA (uracil-O(2)-)-methyltransferase
239016at33208	Complete	JBWBEE010000068.1	84837	78210	-	447.7	406	https://v10-1.orthodb.org/?query=239016at33208	CDC45 family
239149at33208	Missing
239597at33208	Complete	JBWBEE010000220.1	20633	14644	-	557.8	523	https://v10-1.orthodb.org/?query=239597at33208	translation initiation factor eIF-2B subunit epsilon
240437at33208	Complete	JBWBEE010000015.1	384996	387666	+	426.9	221	https://v10-1.orthodb.org/?query=240437at33208	rRNA adenine N(6)-methyltransferase
244863at33208	Complete	JBWBEE010000119.1	143872	137765	-	577.2	558	https://v10-1.orthodb.org/?query=244863at33208	E3 UFM1-protein ligase 1
245482at33208	Complete	JBWBEE010001200.1	35177	28092	-	555.4	400	https://v10-1.orthodb.org/?query=245482at33208	Pescadillo
245567at33208	Complete	JBWBEE010000062.1	273199	285592	+	504.4	416	https://v10-1.orthodb.org/?query=245567at33208	DnaJ domain
246241at33208	Complete	JBWBEE010000627.1	47005	51935	+	564.3	370	https://v10-1.orthodb.org/?query=246241at33208	26S proteasome non-ATPase regulatory subunit 12
247183at33208	Complete	JBWBEE010000577.1	91387	50116	-	875.0	589	https://v10-1.orthodb.org/?query=247183at33208	Kinesin-associated protein 3
247905at33208	Complete	JBWBEE010000492.1	95092	105638	+	254.8	261	https://v10-1.orthodb.org/?query=247905at33208	SUI1 domain
249486at33208	Complete	JBWBEE010001464.1	23962	25531	+	533.2	421	https://v10-1.orthodb.org/?query=249486at33208	DNA polymerase epsilon subunit
251076at33208	Complete	JBWBEE010000094.1	196783	200069	+	535.7	316	https://v10-1.orthodb.org/?query=251076at33208	PDZ domain
251577at33208	Complete	JBWBEE010000737.1	64359	66721	+	284.0	254	https://v10-1.orthodb.org/?query=251577at33208	nucleolar complex protein 4 homolog
255117at33208	Complete	JBWBEE010000454.1	45612	66171	+	1153.1	716	https://v10-1.orthodb.org/?query=255117at33208	Phosphatidylinositol 3-kinase, C2 domain
255242at33208	Complete	JBWBEE010000274.1	78372	74963	-	361.8	258	https://v10-1.orthodb.org/?query=255242at33208	Origin recognition complex subunit 4
255924at33208	Complete	JBWBEE010001737.1	20983	1516	-	704.6	479	https://v10-1.orthodb.org/?query=255924at33208	Helicase, C-terminal
257141at33208	Complete	JBWBEE010001496.1	20954	34784	+	377.7	294	https://v10-1.orthodb.org/?query=257141at33208	D-glucuronyl C5-epimerase
257339at33208	Complete	JBWBEE010000066.1	209067	214162	+	258.2	277	https://v10-1.orthodb.org/?query=257339at33208	Zinc finger, MYND-type
259581at33208	Complete	JBWBEE010000008.1	337958	343114	+	285.0	377	https://v10-1.orthodb.org/?query=259581at33208	Hermansky-Pudlak syndrome 1 protein
260752at33208	Complete	JBWBEE010000063.1	170635	166240	-	484.6	502	https://v10-1.orthodb.org/?query=260752at33208	conserved oligomeric Golgi complex subunit 2
261284at33208	Complete	JBWBEE010000009.1	337048	343559	+	694.5	628	https://v10-1.orthodb.org/?query=261284at33208	Vps16, C-terminal
261614at33208	Complete	JBWBEE010001330.1	42549	37812	-	535.3	322	https://v10-1.orthodb.org/?query=261614at33208	WD40 repeat
262757at33208	Complete	JBWBEE010000028.1	42198	28745	-	296.8	282	https://v10-1.orthodb.org/?query=262757at33208	putative tRNA pseudouridine synthase Pus10
266460at33208	Complete	JBWBEE010000252.1	13103	41766	+	621.3	482	https://v10-1.orthodb.org/?query=266460at33208	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
266469at33208	Complete	JBWBEE010000627.1	24021	22824	-	157.4	201	https://v10-1.orthodb.org/?query=266469at33208	GTP binding domain
266808at33208	Complete	JBWBEE010000049.1	70759	50795	-	524.1	351	https://v10-1.orthodb.org/?query=266808at33208	cleavage stimulation factor subunit 1
267439at33208	Complete	JBWBEE010000004.1	218129	208327	-	710.6	417	https://v10-1.orthodb.org/?query=267439at33208	Aminoacyl-tRNA synthetase, class II
268134at33208	Complete	JBWBEE010003115.1	15532	7532	-	315.4	244	https://v10-1.orthodb.org/?query=268134at33208	Kynurenine 3-monooxygenase
268397at33208	Complete	JBWBEE010000360.1	116838	107914	-	907.0	614	https://v10-1.orthodb.org/?query=268397at33208	Vps53-like, N-terminal
270594at33208	Complete	JBWBEE010000428.1	81726	69006	-	729.1	531	https://v10-1.orthodb.org/?query=270594at33208	SDA1 domain
271297at33208	Complete	JBWBEE010001402.1	22750	10397	-	350.2	233	https://v10-1.orthodb.org/?query=271297at33208	Protoheme IX farnesyltransferase, mitochondrial
271742at33208	Complete	JBWBEE010000288.1	91273	98682	+	611.0	450	https://v10-1.orthodb.org/?query=271742at33208	Nuclear pore localisation protein NPL4, C-terminal
272605at33208	Complete	JBWBEE010000096.1	198519	196654	-	571.5	392	https://v10-1.orthodb.org/?query=272605at33208	DET1 homolog
273040at33208	Complete	JBWBEE010000154.1	119136	115557	-	173.7	128	https://v10-1.orthodb.org/?query=273040at33208	N-end aminoacyl transferase, N-terminal
273367at33208	Complete	JBWBEE010000117.1	187355	184159	-	154.9	228	https://v10-1.orthodb.org/?query=273367at33208	ODR-4-like
273989at33208	Complete	JBWBEE010000427.1	20424	7943	-	599.3	446	https://v10-1.orthodb.org/?query=273989at33208	RNA helicase
274044at33208	Complete	JBWBEE010000027.1	258312	264587	+	579.2	523	https://v10-1.orthodb.org/?query=274044at33208	Plus-3 domain
274064at33208	Complete	JBWBEE010000808.1	45030	50405	+	452.4	269	https://v10-1.orthodb.org/?query=274064at33208	Protein O-glucosyltransferase 1
274769at33208	Complete	JBWBEE010000041.1	265468	272750	+	477.3	342	https://v10-1.orthodb.org/?query=274769at33208	Ubiquitin specific protease, conserved site
274992at33208	Complete	JBWBEE010000133.1	89257	83617	-	496.3	293	https://v10-1.orthodb.org/?query=274992at33208	Clathrin adaptor, mu subunit
277935at33208	Complete	JBWBEE010000710.1	60946	28067	-	678.7	593	https://v10-1.orthodb.org/?query=277935at33208	nuclear pore complex protein Nup107
278227at33208	Complete	JBWBEE010000892.1	34281	44612	+	462.3	343	https://v10-1.orthodb.org/?query=278227at33208	Zinc finger, RING-type
279631at33208	Complete	JBWBEE010000127.1	160504	174831	+	619.9	579	https://v10-1.orthodb.org/?query=279631at33208	WD40 repeat
279992at33208	Complete	JBWBEE010000578.1	65342	49465	-	417.4	323	https://v10-1.orthodb.org/?query=279992at33208	Lin-9 DREAM MuvB core complex component
280914at33208	Complete	JBWBEE010000311.1	128693	121329	-	439.0	509	https://v10-1.orthodb.org/?query=280914at33208	Nicastrin
281304at33208	Complete	JBWBEE010000517.1	59206	65612	+	319.1	321	https://v10-1.orthodb.org/?query=281304at33208	GPI mannosyltransferase
281693at33208	Complete	JBWBEE010000963.1	36603	43736	+	841.5	588	https://v10-1.orthodb.org/?query=281693at33208	WD40 repeat
283637at33208	Complete	JBWBEE010000214.1	26579	33720	+	695.2	362	https://v10-1.orthodb.org/?query=283637at33208	COP9 signalosome complex subunit 2
284059at33208	Complete	JBWBEE010000032.1	326159	313107	-	376.6	272	https://v10-1.orthodb.org/?query=284059at33208	Intraflagellar transport 52
285146at33208	Complete	JBWBEE010000199.1	49964	57572	+	447.1	313	https://v10-1.orthodb.org/?query=285146at33208	General transcription factor IIH subunit
285902at33208	Complete	JBWBEE010002627.1	4310	9002	+	429.9	390	https://v10-1.orthodb.org/?query=285902at33208	Protein of unknown function DUF2362
285966at33208	Complete	JBWBEE010001310.1	11004	14536	+	415.2	380	https://v10-1.orthodb.org/?query=285966at33208	KIF-1 binding protein
286553at33208	Complete	JBWBEE010000255.1	135758	140535	+	405.5	283	https://v10-1.orthodb.org/?query=286553at33208	GDP-fucose protein O-fucosyltransferase
289235at33208	Complete	JBWBEE010001259.1	33092	31181	-	235.6	242	https://v10-1.orthodb.org/?query=289235at33208	E3 ubiquitin-protein ligase TM129
289928at33208	Complete	JBWBEE010000102.1	85815	78732	-	387.3	335	https://v10-1.orthodb.org/?query=289928at33208	Major facilitator superfamily
291505at33208	Complete	JBWBEE010000196.1	94843	125205	+	579.0	439	https://v10-1.orthodb.org/?query=291505at33208	tRNA (cytosine(34)-C(5))-methyltransferase
291875at33208	Complete	JBWBEE010004467.1	194	3078	+	439.4	447	https://v10-1.orthodb.org/?query=291875at33208	U3 small nucleolar ribonucleoprotein complex, subunit Mpp10
295556at33208	Complete	JBWBEE010000639.1	74923	67950	-	473.5	634	https://v10-1.orthodb.org/?query=295556at33208	Codanin-1, C-terminal domain
295775at33208	Complete	JBWBEE010000490.1	103150	93294	-	284.7	264	https://v10-1.orthodb.org/?query=295775at33208	Protein arginine methyltransferase NDUFAF7
300303at33208	Complete	JBWBEE010000103.1	237600	225136	-	386.7	401	https://v10-1.orthodb.org/?query=300303at33208	Cell cycle regulator Mat89Bb
301572at33208	Complete	JBWBEE010000011.1	221836	220021	-	592.9	397	https://v10-1.orthodb.org/?query=301572at33208	Nop domain
302186at33208	Complete	JBWBEE010002624.1	7636	15843	+	277.1	345	https://v10-1.orthodb.org/?query=302186at33208	Anaphase-promoting complex subunit 4 long domain
302279at33208	Complete	JBWBEE010000011.1	147186	144476	-	525.5	304	https://v10-1.orthodb.org/?query=302279at33208	WD40 repeat
