Data S3. Exaiptasia diaphana (Aiptasia) F003 strain-specific gene models identified by OrthoVenn3, including orthogroup assignments and functional annotations.				
Orthologs Group ID	# Proteins	Protein ID	Swiss-Prot Hit	GO Annotation
cluster334	10	F003|KAN1695211.1;F003|KAN1698465.1;F003|KAN1698466.1;F003|KAN1703159.1;F003|KAN1703948.1;F003|KAN1703949.1;F003|KAN1703950.1;F003|KAN1709706.1;F003|KAN1710743.1;F003|KAN1710744.1		
cluster335	10	F003|KAN1695492.1;F003|KAN1695960.1;F003|KAN1696839.1;F003|KAN1696994.1;F003|KAN1699898.1;F003|KAN1700673.1;F003|KAN1701098.1;F003|KAN1708064.1;F003|KAN1709459.1;F003|KAN1713623.1		
cluster336	10	F003|KAN1695858.1;F003|KAN1696712.1;F003|KAN1697144.1;F003|KAN1697868.1;F003|KAN1699392.1;F003|KAN1701945.1;F003|KAN1702776.1;F003|KAN1703908.1;F003|KAN1704269.1;F003|KAN1717545.1		
cluster337	10	F003|KAN1696344.1;F003|KAN1697698.1;F003|KAN1698512.1;F003|KAN1700060.1;F003|KAN1700740.1;F003|KAN1701083.1;F003|KAN1705892.1;F003|KAN1706719.1;F003|KAN1707325.1;F003|KAN1721047.1		
cluster338	10	F003|KAN1697069.1;F003|KAN1697070.1;F003|KAN1697754.1;F003|KAN1698495.1;F003|KAN1703917.1;F003|KAN1703921.1;F003|KAN1705540.1;F003|KAN1705541.1;F003|KAN1705542.1;F003|KAN1710185.1		
cluster339	10	F003|KAN1698129.1;F003|KAN1699555.1;F003|KAN1703049.1;F003|KAN1703380.1;F003|KAN1703931.1;F003|KAN1704239.1;F003|KAN1704378.1;F003|KAN1704403.1;F003|KAN1704885.1;F003|KAN1709849.1		
cluster340	10	F003|KAN1699827.1;F003|KAN1702994.1;F003|KAN1702995.1;F003|KAN1704236.1;F003|KAN1704237.1;F003|KAN1704238.1;F003|KAN1706080.1;F003|KAN1706081.1;F003|KAN1707201.1;F003|KAN1707202.1		
cluster441	9	F003|KAN1694677.1;F003|KAN1696783.1;F003|KAN1696784.1;F003|KAN1697347.1;F003|KAN1699420.1;F003|KAN1707717.1;F003|KAN1717330.1;F003|KAN1717336.1;F003|KAN1722466.1	Q5TJ59	GO:0002224; P:toll-like receptor signaling pathway; IBA:GO_Central
cluster442	9	F003|KAN1694756.1;F003|KAN1695689.1;F003|KAN1696490.1;F003|KAN1698089.1;F003|KAN1698724.1;F003|KAN1699549.1;F003|KAN1701671.1;F003|KAN1703910.1;F003|KAN1705674.1		
cluster443	9	F003|KAN1695277.1;F003|KAN1700690.1;F003|KAN1701853.1;F003|KAN1703723.1;F003|KAN1708286.1;F003|KAN1710788.1;F003|KAN1710793.1;F003|KAN1710802.1;F003|KAN1713753.1		
cluster444	9	F003|KAN1695649.1;F003|KAN1696168.1;F003|KAN1699080.1;F003|KAN1700386.1;F003|KAN1701808.1;F003|KAN1702679.1;F003|KAN1707993.1;F003|KAN1708256.1;F003|KAN1712499.1		
cluster445	9	F003|KAN1695660.1;F003|KAN1696750.1;F003|KAN1697630.1;F003|KAN1697957.1;F003|KAN1701376.1;F003|KAN1701553.1;F003|KAN1701554.1;F003|KAN1701555.1;F003|KAN1701948.1		
cluster446	9	F003|KAN1695917.1;F003|KAN1697241.1;F003|KAN1700174.1;F003|KAN1702589.1;F003|KAN1703146.1;F003|KAN1705080.1;F003|KAN1705583.1;F003|KAN1706390.1;F003|KAN1707790.1		
cluster447	9	F003|KAN1696016.1;F003|KAN1696017.1;F003|KAN1696183.1;F003|KAN1697795.1;F003|KAN1698086.1;F003|KAN1698253.1;F003|KAN1701615.1;F003|KAN1702025.1;F003|KAN1703866.1		
cluster448	9	F003|KAN1696598.1;F003|KAN1697146.1;F003|KAN1697264.1;F003|KAN1697811.1;F003|KAN1699215.1;F003|KAN1699663.1;F003|KAN1700289.1;F003|KAN1700391.1;F003|KAN1703888.1	Q80XJ3	GO:0007346; P:regulation of mitotic cell cycle; ISO:MGI
cluster449	9	F003|KAN1696654.1;F003|KAN1696655.1;F003|KAN1699948.1;F003|KAN1701097.1;F003|KAN1701197.1;F003|KAN1701340.1;F003|KAN1702993.1;F003|KAN1706199.1;F003|KAN1711507.1		
cluster450	9	F003|KAN1698034.1;F003|KAN1705099.1;F003|KAN1714183.1;F003|KAN1717321.1;F003|KAN1717322.1;F003|KAN1717659.1;F003|KAN1717660.1;F003|KAN1718972.1;F003|KAN1720018.1	O93441	GO:0007601; P:visual perception; IEA:UniProtKB-KW
cluster451	9	F003|KAN1701107.1;F003|KAN1701108.1;F003|KAN1703997.1;F003|KAN1704746.1;F003|KAN1704747.1;F003|KAN1704748.1;F003|KAN1704749.1;F003|KAN1707245.1;F003|KAN1707246.1		
cluster583	8	F003|KAN1694633.1;F003|KAN1694698.1;F003|KAN1699788.1;F003|KAN1700601.1;F003|KAN1700886.1;F003|KAN1703048.1;F003|KAN1704380.1;F003|KAN1709850.1		
cluster584	8	F003|KAN1694665.1;F003|KAN1694753.1;F003|KAN1695529.1;F003|KAN1695919.1;F003|KAN1696781.1;F003|KAN1698774.1;F003|KAN1700190.1;F003|KAN1706165.1		
cluster585	8	F003|KAN1694798.1;F003|KAN1697016.1;F003|KAN1700629.1;F003|KAN1704068.1;F003|KAN1706994.1;F003|KAN1708298.1;F003|KAN1709858.1;F003|KAN1711561.1		
cluster586	8	F003|KAN1694815.1;F003|KAN1695217.1;F003|KAN1695585.1;F003|KAN1696584.1;F003|KAN1698087.1;F003|KAN1698964.1;F003|KAN1701126.1;F003|KAN1710268.1		
cluster587	8	F003|KAN1694832.1;F003|KAN1696986.1;F003|KAN1697001.1;F003|KAN1697992.1;F003|KAN1699192.1;F003|KAN1701483.1;F003|KAN1701860.1;F003|KAN1705636.1		
cluster588	8	F003|KAN1694860.1;F003|KAN1695180.1;F003|KAN1695478.1;F003|KAN1698232.1;F003|KAN1701070.1;F003|KAN1704280.1;F003|KAN1704281.1;F003|KAN1704283.1		
cluster589	8	F003|KAN1694861.1;F003|KAN1695825.1;F003|KAN1695826.1;F003|KAN1699304.1;F003|KAN1700774.1;F003|KAN1700775.1;F003|KAN1703564.1;F003|KAN1709859.1		
cluster590	8	F003|KAN1695260.1;F003|KAN1696881.1;F003|KAN1696882.1;F003|KAN1699539.1;F003|KAN1699540.1;F003|KAN1704830.1;F003|KAN1704831.1;F003|KAN1705914.1		
cluster591	8	F003|KAN1695370.1;F003|KAN1700071.1;F003|KAN1702606.1;F003|KAN1702979.1;F003|KAN1704117.1;F003|KAN1708039.1;F003|KAN1708040.1;F003|KAN1724381.1		
cluster592	8	F003|KAN1695432.1;F003|KAN1696422.1;F003|KAN1698059.1;F003|KAN1700248.1;F003|KAN1701374.1;F003|KAN1701857.1;F003|KAN1702366.1;F003|KAN1703718.1	Q5GLZ8	GO:0007283; P:spermatogenesis; ISS:UniProtKB
cluster593	8	F003|KAN1695760.1;F003|KAN1696958.1;F003|KAN1698850.1;F003|KAN1702032.1;F003|KAN1702641.1;F003|KAN1704377.1;F003|KAN1704666.1;F003|KAN1715324.1	Q9W6K2	GO:0006298; P:mismatch repair; ISS:UniProtKB
cluster594	8	F003|KAN1695929.1;F003|KAN1696989.1;F003|KAN1699789.1;F003|KAN1700291.1;F003|KAN1700602.1;F003|KAN1700885.1;F003|KAN1701546.1;F003|KAN1704105.1		
cluster595	8	F003|KAN1696087.1;F003|KAN1698932.1;F003|KAN1698933.1;F003|KAN1700717.1;F003|KAN1700890.1;F003|KAN1706005.1;F003|KAN1706006.1;F003|KAN1709855.1		
cluster596	8	F003|KAN1697250.1;F003|KAN1697251.1;F003|KAN1698090.1;F003|KAN1701024.1;F003|KAN1701602.1;F003|KAN1702466.1;F003|KAN1702467.1;F003|KAN1710800.1		
cluster597	8	F003|KAN1697498.1;F003|KAN1697499.1;F003|KAN1697983.1;F003|KAN1699492.1;F003|KAN1701753.1;F003|KAN1703745.1;F003|KAN1705644.1;F003|KAN1709153.1		
cluster598	8	F003|KAN1697984.1;F003|KAN1698510.1;F003|KAN1699441.1;F003|KAN1702738.1;F003|KAN1705823.1;F003|KAN1708300.1;F003|KAN1717905.1;F003|KAN1720887.1	Q8BHN3	GO:0006491; P:N-glycan processing; IDA:UniProtKB
cluster599	8	F003|KAN1698582.1;F003|KAN1698583.1;F003|KAN1701498.1;F003|KAN1701811.1;F003|KAN1708992.1;F003|KAN1708993.1;F003|KAN1708994.1;F003|KAN1712633.1	Q6X0I2	GO:0006898; P:receptor-mediated endocytosis; IDA:UniProtKB
cluster600	8	F003|KAN1699839.1;F003|KAN1700552.1;F003|KAN1700553.1;F003|KAN1700932.1;F003|KAN1701575.1;F003|KAN1702014.1;F003|KAN1703881.1;F003|KAN1721274.1	Q04786	GO:0000272; P:polysaccharide catabolic process; IEA:UniProtKB-KW
cluster794	7	F003|KAN1695171.1;F003|KAN1695580.1;F003|KAN1698180.1;F003|KAN1699763.1;F003|KAN1702821.1;F003|KAN1704323.1;F003|KAN1704326.1	P0C6B8	GO:0007155; P:cell adhesion; IEA:UniProtKB-KW
cluster795	7	F003|KAN1695234.1;F003|KAN1697296.1;F003|KAN1703256.1;F003|KAN1703271.1;F003|KAN1705370.1;F003|KAN1709909.1;F003|KAN1711463.1	Q12041	GO:0006357; P:regulation of transcription by RNA polymerase II; IDA:SGD
cluster796	7	F003|KAN1695574.1;F003|KAN1696582.1;F003|KAN1701489.1;F003|KAN1702720.1;F003|KAN1704637.1;F003|KAN1709068.1;F003|KAN1717833.1		
cluster797	7	F003|KAN1695998.1;F003|KAN1697781.1;F003|KAN1697782.1;F003|KAN1697961.1;F003|KAN1703536.1;F003|KAN1703798.1;F003|KAN1718963.1		
cluster798	7	F003|KAN1696165.1;F003|KAN1696456.1;F003|KAN1700747.1;F003|KAN1701264.1;F003|KAN1702005.1;F003|KAN1705210.1;F003|KAN1713521.1	P34257	GO:0006313; P:transposition, DNA-mediated; IEA:InterPro
cluster799	7	F003|KAN1696382.1;F003|KAN1696676.1;F003|KAN1699013.1;F003|KAN1699014.1;F003|KAN1700595.1;F003|KAN1705829.1;F003|KAN1711369.1		
cluster800	7	F003|KAN1696386.1;F003|KAN1698096.1;F003|KAN1698097.1;F003|KAN1699758.1;F003|KAN1701949.1;F003|KAN1703142.1;F003|KAN1710488.1		
cluster801	7	F003|KAN1696685.1;F003|KAN1711731.1;F003|KAN1711732.1;F003|KAN1711733.1;F003|KAN1711734.1;F003|KAN1714728.1;F003|KAN1718686.1	Q8WWY0	GO:0007009; P:plasma membrane organization; IEA:Ensembl
cluster802	7	F003|KAN1696769.1;F003|KAN1696770.1;F003|KAN1698252.1;F003|KAN1699178.1;F003|KAN1699180.1;F003|KAN1699531.1;F003|KAN1700030.1	Q9UMZ3	GO:0045598; P:regulation of fat cell differentiation; IDA:UniProtKB
cluster803	7	F003|KAN1697023.1;F003|KAN1697285.1;F003|KAN1697689.1;F003|KAN1701459.1;F003|KAN1704264.1;F003|KAN1704650.1;F003|KAN1706252.1		
cluster804	7	F003|KAN1697055.1;F003|KAN1697569.1;F003|KAN1698795.1;F003|KAN1704175.1;F003|KAN1705769.1;F003|KAN1705770.1;F003|KAN1707505.1		
cluster805	7	F003|KAN1697188.1;F003|KAN1698651.1;F003|KAN1700630.1;F003|KAN1702175.1;F003|KAN1702176.1;F003|KAN1702889.1;F003|KAN1705075.1		
cluster806	7	F003|KAN1697292.1;F003|KAN1699006.1;F003|KAN1700072.1;F003|KAN1702705.1;F003|KAN1702706.1;F003|KAN1703562.1;F003|KAN1715308.1		
cluster807	7	F003|KAN1698233.1;F003|KAN1701068.1;F003|KAN1701105.1;F003|KAN1701606.1;F003|KAN1704623.1;F003|KAN1705641.1;F003|KAN1705680.1		
cluster808	7	F003|KAN1698843.1;F003|KAN1699125.1;F003|KAN1700146.1;F003|KAN1700455.1;F003|KAN1702608.1;F003|KAN1703546.1;F003|KAN1706964.1		
cluster809	7	F003|KAN1699450.1;F003|KAN1700114.1;F003|KAN1700318.1;F003|KAN1701921.1;F003|KAN1701922.1;F003|KAN1703001.1;F003|KAN1703867.1		
cluster810	7	F003|KAN1699474.1;F003|KAN1702699.1;F003|KAN1703050.1;F003|KAN1704230.1;F003|KAN1708971.1;F003|KAN1708972.1;F003|KAN1708974.1		
cluster811	7	F003|KAN1699530.1;F003|KAN1701325.1;F003|KAN1702043.1;F003|KAN1702391.1;F003|KAN1702794.1;F003|KAN1702798.1;F003|KAN1704969.1	Q15262	GO:0007179; P:transforming growth factor beta receptor signaling pathway; IDA:UniProtKB
cluster812	7	F003|KAN1700460.1;F003|KAN1700461.1;F003|KAN1700462.1;F003|KAN1700730.1;F003|KAN1701761.1;F003|KAN1701762.1;F003|KAN1701763.1		
cluster813	7	F003|KAN1704574.1;F003|KAN1704575.1;F003|KAN1706195.1;F003|KAN1706623.1;F003|KAN1712108.1;F003|KAN1712109.1;F003|KAN1720218.1		
cluster1185	6	F003|KAN1694650.1;F003|KAN1695987.1;F003|KAN1698341.1;F003|KAN1704288.1;F003|KAN1706854.1;F003|KAN1714725.1		
cluster1186	6	F003|KAN1694723.1;F003|KAN1695399.1;F003|KAN1696380.1;F003|KAN1698426.1;F003|KAN1699754.1;F003|KAN1699755.1		
cluster1187	6	F003|KAN1694951.1;F003|KAN1695452.1;F003|KAN1696225.1;F003|KAN1699738.1;F003|KAN1699739.1;F003|KAN1710911.1		
cluster1188	6	F003|KAN1694959.1;F003|KAN1696361.1;F003|KAN1697221.1;F003|KAN1700625.1;F003|KAN1702839.1;F003|KAN1706034.1		
cluster1189	6	F003|KAN1694974.1;F003|KAN1716017.1;F003|KAN1716712.1;F003|KAN1716911.1;F003|KAN1721480.1;F003|KAN1724838.1	Q96JB1	GO:0036158; P:outer dynein arm assembly; IBA:GO_Central
cluster1190	6	F003|KAN1694990.1;F003|KAN1696890.1;F003|KAN1701681.1;F003|KAN1701914.1;F003|KAN1704079.1;F003|KAN1707200.1		
cluster1191	6	F003|KAN1695109.1;F003|KAN1696089.1;F003|KAN1698217.1;F003|KAN1700424.1;F003|KAN1713962.1;F003|KAN1717849.1		
cluster1192	6	F003|KAN1695153.1;F003|KAN1696913.1;F003|KAN1700480.1;F003|KAN1703586.1;F003|KAN1703593.1;F003|KAN1707545.1		
cluster1193	6	F003|KAN1695308.1;F003|KAN1696205.1;F003|KAN1698378.1;F003|KAN1701448.1;F003|KAN1707376.1;F003|KAN1709072.1		
cluster1194	6	F003|KAN1695350.1;F003|KAN1698963.1;F003|KAN1700382.1;F003|KAN1700728.1;F003|KAN1705115.1;F003|KAN1706637.1		
cluster1195	6	F003|KAN1695501.1;F003|KAN1697880.1;F003|KAN1700916.1;F003|KAN1701142.1;F003|KAN1705472.1;F003|KAN1709064.1		
cluster1196	6	F003|KAN1695522.1;F003|KAN1696515.1;F003|KAN1698487.1;F003|KAN1702716.1;F003|KAN1704998.1;F003|KAN1705589.1		
cluster1197	6	F003|KAN1695579.1;F003|KAN1699765.1;F003|KAN1699932.1;F003|KAN1702823.1;F003|KAN1704325.1;F003|KAN1718810.1	Q29RJ2	GO:0005096; F:GTPase activator activity; IEA:UniProtKB-KW
cluster1198	6	F003|KAN1695611.1;F003|KAN1704449.1;F003|KAN1705006.1;F003|KAN1712201.1;F003|KAN1712203.1;F003|KAN1712205.1		
cluster1199	6	F003|KAN1695728.1;F003|KAN1698607.1;F003|KAN1700043.1;F003|KAN1700692.1;F003|KAN1702024.1;F003|KAN1711771.1	Q68EL2	GO:0006399; P:tRNA metabolic process; IBA:GO_Central
cluster1200	6	F003|KAN1696128.1;F003|KAN1696658.1;F003|KAN1697724.1;F003|KAN1699335.1;F003|KAN1701067.1;F003|KAN1703656.1		
cluster1201	6	F003|KAN1696170.1;F003|KAN1697465.1;F003|KAN1698684.1;F003|KAN1700763.1;F003|KAN1700971.1;F003|KAN1712080.1	Q5PQN1	GO:0007283; P:spermatogenesis; ISS:UniProtKB
cluster1202	6	F003|KAN1696220.1;F003|KAN1696425.1;F003|KAN1699572.1;F003|KAN1699573.1;F003|KAN1703250.1;F003|KAN1703403.1	Q6ZHE5	GO:0019148; F:D-cysteine desulfhydrase activity; IBA:GO_Central
cluster1203	6	F003|KAN1696243.1;F003|KAN1697109.1;F003|KAN1700298.1;F003|KAN1706233.1;F003|KAN1706857.1;F003|KAN1709299.1		
cluster1204	6	F003|KAN1696292.1;F003|KAN1698450.1;F003|KAN1700157.1;F003|KAN1701963.1;F003|KAN1703106.1;F003|KAN1703746.1		
cluster1205	6	F003|KAN1696486.1;F003|KAN1696487.1;F003|KAN1702051.1;F003|KAN1704282.1;F003|KAN1706163.1;F003|KAN1707992.1		
cluster1206	6	F003|KAN1696677.1;F003|KAN1697844.1;F003|KAN1698128.1;F003|KAN1699899.1;F003|KAN1703439.1;F003|KAN1703545.1		
cluster1207	6	F003|KAN1696697.1;F003|KAN1699982.1;F003|KAN1700132.1;F003|KAN1701623.1;F003|KAN1702266.1;F003|KAN1711503.1		
cluster1208	6	F003|KAN1696936.1;F003|KAN1698103.1;F003|KAN1701418.1;F003|KAN1701670.1;F003|KAN1702365.1;F003|KAN1704276.1		
cluster1209	6	F003|KAN1697046.1;F003|KAN1697047.1;F003|KAN1701224.1;F003|KAN1702200.1;F003|KAN1709173.1;F003|KAN1721187.1		
cluster1210	6	F003|KAN1697290.1;F003|KAN1700539.1;F003|KAN1700540.1;F003|KAN1703014.1;F003|KAN1706236.1;F003|KAN1710711.1		
cluster1211	6	F003|KAN1697378.1;F003|KAN1700911.1;F003|KAN1701764.1;F003|KAN1703449.1;F003|KAN1706101.1;F003|KAN1710281.1		
cluster1212	6	F003|KAN1697412.1;F003|KAN1697454.1;F003|KAN1698356.1;F003|KAN1700908.1;F003|KAN1702228.1;F003|KAN1707168.1		
